"","rownum","Player","Age","Team","Pos","MIN","eFG..Rank","eFG.","Rim.Rank","Rim","Short.Mid.Rank","Short.Mid","Long.Mid.Rank","Long.Mid","All.Mid.Rank","All.Mid","Corner.Three.Rank","Corner.Three","Non.Corner.Rank","Non.Corner","All.Three.Rank","All.Three","Season","Second.year"
"95","1","Michael Carter-Williams",27.1,"ORL","Combo",222,2,"38.80%",5,"48%",44,"38%",24,"33%",39,"37%",0,"60%",0,"0%",2,"19%","2018-2019",2019
"96","1","Alex Caruso",24.7,"LAL","Combo",502,69,"52.10%",14,"51%",19,"30%",14,"24%",5,"28%",0,"33%",100,"58%",100,"51%","2018-2019",2019
"97","1","Omri Casspi",30.4,"MEM","Forward",492,92,"58.30%",82,"72%",24,"27%",0,"0%",11,"27%",0,"29%",86,"40%",76,"38%","2018-2019",2019
"98","1","Willie Cauley-Stein",25.2,"SAC","Big",2222,62,"55.90%",54,"66%",17,"31%",52,"36%",18,"33%",0,"0%",0,"100%",0,"100%","2018-2019",2019
"99","1","Tyson Chandler",36.1,"LAL","Big",785,87,"61.60%",40,"64%",65,"43%",2,"0%",40,"38%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"100","1","Wilson Chandler",31.5,"LAC","Forward",210,14,"45.20%",25,"55%",4,"17%",17,"25%",4,"21%",0,"8%",100,"48%",41,"34%","2018-2019",2019
"101","1","Wilson Chandler",31.5,"PHI","Big",951,55,"55.30%",13,"57%",88,"50%",50,"35%",78,"44%",82,"43%",76,"38%",85,"39%","2018-2019",2019
"102","1","Marquese Chriss",21.3,"CLE","Big",394,2,"43.50%",3,"52%",29,"35%",2,"0%",17,"32%",19,"30%",6,"24%",12,"26%","2018-2019",2019
"103","1","Gary Clark",24,"HOU","Forward",522,70,"54.40%",100,"100%",89,"50%",0,"0%",97,"50%",4,"22%",78,"38%",46,"34%","2018-2019",2019
"104","1","Ian Clark",27.7,"NOP","Combo",944,32,"47.80%",68,"60%",75,"43%",42,"39%",66,"42%",38,"37%",25,"31%",29,"32%","2018-2019",2019
"105","1","Jordan Clarkson",26.4,"CLE","Combo",2179,64,"51.40%",78,"62%",85,"46%",83,"49%",92,"47%",33,"36%",40,"33%",41,"33%","2018-2019",2019
"106","1","John Collins",21.1,"ATL","Big",1819,80,"59.60%",76,"70%",42,"38%",23,"25%",34,"36%",93,"48%",23,"29%",58,"36%","2018-2019",2019
"107","1","Zach Collins",21,"POR","Big",1274,23,"51.00%",38,"64%",70,"45%",14,"11%",26,"34%",0,"22%",27,"30%",22,"30%","2018-2019",2019
"108","1","Darren Collison",31.2,"IND","Point",2143,81,"53.60%",57,"59%",26,"33%",78,"47%",76,"44%",97,"52%",63,"36%",92,"42%","2018-2019",2019
"109","1","Mike Conley",31.1,"MEM","Point",2341,57,"50.60%",24,"54%",87,"46%",57,"43%",80,"45%",88,"45%",49,"35%",69,"36%","2018-2019",2019
"110","1","Pat Connaughton",25.8,"MIL","Wing",1153,82,"54.80%",83,"67%",80,"44%",96,"63%",95,"50%",21,"32%",33,"32%",20,"32%","2018-2019",2019
"111","1","Quinn Cook",25.6,"GSW","Point",865,98,"57.70%",19,"53%",67,"41%",93,"53%",94,"49%",82,"44%",96,"44%",98,"44%","2018-2019",2019
"112","1","DeMarcus Cousins",28.2,"GSW","Big",753,24,"51.10%",57,"66%",31,"36%",48,"35%",31,"35%",0,"20%",13,"26%",11,"26%","2018-2019",2019
"113","1","Robert Covington",27.9,"MIN","Wing",748,76,"54.40%",71,"65%",66,"41%",77,"44%",72,"42%",90,"50%",42,"34%",60,"37%","2018-2019",2019
"114","1","Robert Covington",27.9,"PHI","Forward",439,79,"56.00%",93,"75%",13,"25%",17,"25%",7,"25%",0,"29%",89,"41%",82,"39%","2018-2019",2019
"115","1","Allen Crabbe",26.6,"BKN","Wing",1117,50,"50.50%",30,"56%",35,"31%",11,"20%",11,"25%",90,"50%",49,"35%",74,"38%","2018-2019",2019
"116","1","Torrey Craig",27.9,"DEN","Wing",1438,61,"52.10%",78,"67%",77,"43%",1,"0%",31,"32%",31,"36%",12,"27%",17,"31%","2018-2019",2019
"117","1","Jamal Crawford",38.6,"PHX","Point",1208,41,"48.40%",4,"48%",76,"44%",72,"46%",83,"45%",6,"24%",65,"37%",40,"34%","2018-2019",2019
"118","1","Jae Crowder",28.3,"UTA","Big",2158,27,"51.40%",27,"61%",11,"26%",76,"43%",35,"36%",36,"34%",41,"34%",41,"34%","2018-2019",2019
"119","1","Dante Cunningham",31.5,"SAS","Forward",834,72,"54.50%",28,"57%",70,"42%",13,"14%",34,"33%",88,"46%",0,"47%",97,"46%","2018-2019",2019
"120","1","Seth Curry",28.2,"POR","Wing",1362,93,"57.70%",29,"55%",96,"51%",59,"40%",79,"44%",90,"50%",93,"43%",96,"45%","2018-2019",2019
"121","1","Stephen Curry",30.6,"GSW","Point",2326,100,"61.00%",83,"63%",78,"44%",61,"44%",72,"44%",91,"50%",94,"43%",100,"45%","2018-2019",2019
"122","1","Troy Daniels",27.3,"PHX","Wing",706,78,"54.50%",10,"48%",96,"53%",79,"46%",94,"48%",85,"47%",52,"35%",70,"38%","2018-2019",2019
"123","1","Anthony Davis",25.6,"NOP","Big",1849,47,"54.30%",84,"71%",57,"41%",53,"36%",50,"39%",0,"55%",35,"32%",43,"34%","2018-2019",2019
"124","1","Deyonta Davis",21.9,"ATL","Big",117,100,"71.40%",99,"82%",1,"0%",39,"33%",4,"25%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"125","1","Ed Davis",29.4,"BKN","Big",1443,88,"62.00%",61,"67%",13,"29%",2,"0%",8,"28%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"126","1","DeMar DeRozan",29.2,"SAS","Wing",2687,30,"48.50%",89,"69%",82,"45%",54,"40%",72,"42%",5,"27%",0,"5%",0,"17%","2018-2019",2019
"127","1","Dewayne Dedmon",29.2,"ATL","Big",1603,69,"57.20%",69,"69%",41,"38%",49,"35%",38,"37%",84,"43%",65,"36%",82,"38%","2018-2019",2019
